"user_id","title","video_url","video_thumbnail_url","createdAt"
"419","11am Service April 20, 2025","https://storage.googleapis.com/sermonshots-local-storage/uploads%2Fff8ca982-15d2-4c3f-a948-c8b8de180fe7.mp4","https://storage.googleapis.com/sermonshots-local-storage/uploads%2Fb4df9bbc-3477-4d56-8b6e-37e0607d17f2.webp","2025-04-22 17:07:33.613847"
"419","8am Service April 20, 2025","https://storage.googleapis.com/sermonshots-local-storage/uploads%2F397c96e4-111f-4a3d-80bf-4c24c0ec7df1.mp4","https://storage.googleapis.com/sermonshots-local-storage/uploads%2Fc9f85b16-0e66-49d8-a645-c8b62ca1d6ad.webp","2025-04-21 15:23:07.655655"
"419","11am Service April 13, 2025","https://storage.googleapis.com/sermonshots-local-storage/uploads%2F0f535687-9db0-4bd7-b4b2-17bbd94c4f7a.mp4","https://storage.googleapis.com/sermonshots-local-storage/uploads%2Fd5bbda5d-f296-443d-993c-4cd039a0bb42.webp","2025-04-14 16:53:25.392361"
"419","Easter Service 2024","https://storage.googleapis.com/sermonshots-local-storage/uploads%2Fdfa50340-cf7a-45ec-be8b-3d53de657c4a.mp4","https://storage.googleapis.com/sermonshots-local-storage/uploads%2F08226553-1520-4cf3-8f12-a17269144631.webp","2025-04-09 16:12:20.314952"
"419","9:30am Service April 06, 2025","https://storage.googleapis.com/sermonshots-local-storage/uploads%2F9c1478c9-7a9c-43c8-9e67-4fcfc7db8861.mp4","https://storage.googleapis.com/sermonshots-local-storage/uploads%2Fae367bbf-d907-46b9-b8d9-c52b8cbc0032.webp","2025-04-07 16:13:37.298029"
"419","11am Service March 30, 2025","https://storage.googleapis.com/sermonshots-local-storage/uploads%2Fb5bb6d84-afa6-40dc-bbeb-a9a0a1b5bdc1.mp4","https://storage.googleapis.com/sermonshots-local-storage/uploads%2F035c7a2d-fcdd-43aa-8db5-4afb6ea0880b.webp","2025-03-31 16:04:52.02098"
"419","11am Service March 23, 2025","https://storage.googleapis.com/sermonshots-local-storage/uploads%2F028595db-a88c-4f27-a16e-7d1cb751de88.mp4","https://storage.googleapis.com/sermonshots-local-storage/uploads%2Fe993304c-6c0f-494f-a64e-d940ffc7f6ee.webp","2025-03-25 15:19:47.471458"
"419","8am Service March 16, 2025","https://storage.googleapis.com/sermonshots-local-storage/uploads%2F81e70f23-d6fa-455a-a53f-72a34c216088.mp4","https://storage.googleapis.com/sermonshots-local-storage/uploads%2F0255668c-2c02-4741-854f-ef635d2657e1.webp","2025-03-18 16:14:43.777768"
"419","8am Service March 16, 2025","https://storage.googleapis.com/sermonshots-local-storage/uploads%2Fc0fe40ea-cdfa-4d38-a6c4-47f57d53c420.mp4","https://storage.googleapis.com/sermonshots-local-storage/uploads%2F0e43874a-7283-442e-972b-6d21e2c9432c.webp","2025-03-17 17:03:02.478272"
"419","9:30am Service March 09, 2025","https://storage.googleapis.com/sermonshots-local-storage/uploads%2F0386ba0c-e4a4-44a0-84e0-fc261cd80ea3.mp4","https://storage.googleapis.com/sermonshots-local-storage/uploads%2Fdd4b0997-6142-4c26-a056-2413dd0e485c.webp","2025-03-11 16:04:58.000477"
